latency,cdf
12.9640,3.853203355793335e-08
12.9810,5.779805033690002e-08
13.0200,1.7339415101070005e-07
13.0250,2.3119220134760007e-07
13.0430,3.275222852424334e-07
13.0920,8.669707550535003e-07
13.1310,1.6376114262121673e-06
13.1480,2.1385278624653006e-06
13.1570,2.3504540470339343e-06
13.2040,3.7376072551195347e-06
13.2180,4.354119792046468e-06
13.2310,4.816504194741668e-06
13.2450,5.298154614215835e-06
13.2670,6.165125369269335e-06
13.2850,6.781637906196269e-06
13.2930,7.0320961243228355e-06
13.3100,7.552278577354936e-06
13.3200,7.899066879376335e-06
13.3320,8.149525097502903e-06
13.3420,8.631175516977069e-06
13.3730,9.44034822169367e-06
13.3770,9.517412288809537e-06
13.3950,9.883466607609903e-06
13.4070,1.0114658808957503e-05
13.4390,1.0634841261989604e-05
13.4800,1.152107803382207e-05
13.4910,1.1713738201611738e-05
13.4960,1.186786633584347e-05
13.5010,1.1983462436517271e-05
13.5270,1.256144293988627e-05
13.5430,1.2946763275465604e-05
13.5470,1.3062359376139404e-05
13.5480,1.3081625392918371e-05
13.5550,1.3312817594265972e-05
13.5630,1.3524743778834605e-05
13.5860,1.4295384449993272e-05
13.6060,1.4969695037257105e-05
13.6070,1.5027493087594005e-05
13.6110,1.5123823171488839e-05
13.6360,1.5990793926542338e-05
13.6380,1.604859197687924e-05
13.6520,1.6472444346016505e-05
13.6620,1.674216858092204e-05
13.6790,1.7166020950059305e-05
13.7020,1.8032991705112804e-05
13.7040,1.807152373867074e-05
13.7090,1.824491788968144e-05
13.7230,1.8553174158144906e-05
13.7260,1.8610972208481807e-05
13.7410,1.9246750762187707e-05
13.7560,1.9709135164882905e-05
13.7850,2.0865096171620907e-05
13.7880,2.0980692272294708e-05
13.7920,2.1115554389747475e-05
13.7990,2.1404544641431974e-05
13.8050,2.1751332943453375e-05
13.8220,2.2444909547496175e-05
13.8420,2.3466008436781407e-05
13.8590,2.4101786990487306e-05
13.8820,2.5508206215351876e-05
13.9090,2.676049730598471e-05
13.9260,2.7800862212048907e-05
13.9450,2.8879759151671043e-05
13.9980,3.190452378596881e-05
14.0000,3.207791793697951e-05
14.0140,3.288709064169611e-05
14.0150,3.290635665847508e-05
14.0280,3.381185944708651e-05
14.0300,3.386965749742341e-05
14.0340,3.410084969877101e-05
14.0370,3.435130791689758e-05
14.0430,3.477516028603484e-05
14.0460,3.4967820453824514e-05
14.0780,3.674029399748944e-05
14.0910,3.749166865186915e-05
14.1140,3.884028982639681e-05
14.1160,3.895588592707061e-05
14.1190,3.9187078128418214e-05
14.1360,4.015037896736655e-05
14.1390,4.034303913515621e-05
14.1500,4.095955167208315e-05
14.1560,4.132560599088351e-05
14.1950,4.357972995402261e-05
14.1970,4.375312410503332e-05
14.2010,4.400358232315988e-05
14.2240,4.535220349768755e-05
14.2350,4.583385391716171e-05
14.2360,4.5853119933940684e-05
14.2570,4.702834695745765e-05
14.2750,4.828063804809048e-05
14.2760,4.829990406486945e-05
14.2830,4.868522440044878e-05
14.2900,4.910907676958605e-05
14.3090,5.005311159175542e-05
14.3100,5.0110909642092316e-05
14.3300,5.140173276628308e-05
14.3310,5.144026479984102e-05
14.3330,5.151732886695688e-05
14.3530,5.275035394081075e-05
14.3700,5.352099461196942e-05
14.3750,5.377145283009598e-05
14.3850,5.4445763417359817e-05
14.3930,5.496594587039192e-05
14.3940,5.500447790394985e-05
14.4030,5.552466035698195e-05
14.4110,5.594851272611922e-05
14.4370,5.754759211877345e-05
14.4460,5.810630660536348e-05
14.4570,5.868428710873249e-05
14.4580,5.8742085159069386e-05
14.4630,5.9108139477869755e-05
14.4740,5.976318404835462e-05
14.4780,6.005217430003912e-05
14.4840,6.0591622769850185e-05
14.4870,6.0707218870523986e-05
14.5520,6.417510189073798e-05
14.5730,6.509987069612839e-05
14.5750,6.517693476324425e-05
14.5880,6.579344730017118e-05
14.6030,6.669895008878262e-05
14.6650,6.895307405192173e-05
14.6740,6.918426625326932e-05
14.7250,7.130352809895566e-05
14.7860,7.349985401175786e-05
14.8070,7.413563256546376e-05
14.8190,7.457875095138e-05
14.8240,7.469434705205379e-05
14.8600,7.573471195811799e-05
14.8660,7.586957407557076e-05
14.8740,7.617783034403423e-05
14.8890,7.662094872995046e-05
14.9000,7.681360889774013e-05
14.9190,7.731452533399326e-05
14.9300,7.750718550178292e-05
14.9350,7.762278160245673e-05
14.9390,7.771911168635155e-05
14.9400,7.77576437199095e-05
14.9420,7.779617575346743e-05
