time,iops
0.5,660064.0
1.0,701951.0
1.5,706802.0
2.0,704028.0
2.5,701918.0
3.0,710078.0
3.5,711145.0
4.0,711460.0
4.5,716430.0
5.0,712920.0
5.5,710185.0
6.0,712524.0
6.5,699522.0
7.0,704430.0
7.5,710038.0
8.0,714892.0
8.5,710328.0
9.0,709734.0
9.5,717902.0
10.0,711868.0
10.5,707608.0
11.0,715244.0
11.5,709820.0
12.0,710234.0
12.5,714636.0
13.0,708906.0
13.5,669442.0
14.0,683430.0
14.5,711780.0
15.0,709822.0
15.5,718224.0
16.0,712678.0
16.5,712942.0
17.0,717186.0
17.5,713430.0
18.0,711878.0
18.5,710267.0
19.0,717126.0
19.5,712168.0
20.0,711240.0
20.5,717766.0
21.0,713619.0
21.5,712752.0
22.0,716690.0
22.5,711366.0
23.0,710022.0
23.5,712508.0
24.0,716712.0
24.5,712808.0
25.0,711646.0
25.5,717960.0
26.0,712484.0
26.5,710246.0
27.0,717708.0
27.5,713193.0
28.0,712690.0
28.5,712664.0
29.0,718136.0
29.5,713096.0
30.0,712860.0
30.5,713368.0
31.0,713286.0
31.5,712276.0
32.0,717077.0
32.5,713228.0
33.0,713096.0
33.5,710230.0
34.0,716970.0
34.5,711920.0
35.0,713514.0
35.5,716710.0
36.0,712266.0
36.5,712486.0
37.0,718156.0
37.5,712632.0
38.0,709942.0
38.5,711128.0
39.0,716798.0
39.5,711396.0
40.0,711350.0
40.5,716914.0
41.0,712008.0
41.5,712904.0
42.0,718298.0
42.5,711994.0
43.0,712990.0
43.5,711240.0
44.0,716784.0
44.5,712942.0
45.0,314108.0
45.5,204112.0
46.0,223546.0
46.5,203070.0
47.0,211856.0
47.5,202324.0
48.0,221720.0
48.5,202000.0
49.0,211108.0
49.5,202240.0
50.0,215028.0
50.5,201946.0
51.0,211210.0
51.5,211466.0
52.0,217398.0
52.5,201858.0
53.0,205696.0
53.5,218120.0
54.0,212032.0
54.5,206592.0
55.0,201873.0
55.5,214504.0
56.0,198942.0
56.5,207508.0
57.0,196067.0
57.5,219394.0
58.0,198704.0
58.5,211952.0
59.0,204289.0
59.5,220766.0
60.0,198048.0
60.5,205658.0
61.0,207238.0
61.5,215586.0
62.0,199520.0
62.5,205072.0
63.0,211200.0
63.5,214714.0
64.0,203756.0
64.5,206117.0
65.0,219876.0
65.5,207134.0
66.0,207304.0
66.5,202816.0
67.0,215932.0
67.5,203320.0
68.0,210000.0
68.5,208552.0
69.0,224844.0
69.5,200308.0
70.0,208333.0
70.5,214568.0
71.0,218110.0
71.5,202584.0
72.0,205424.0
72.5,212274.0
73.0,211750.0
73.5,211072.0
74.0,209072.0
74.5,223608.0
75.0,206240.0
75.5,212373.0
76.0,206714.0
76.5,220958.0
77.0,203034.0
77.5,215020.0
78.0,209116.0
78.5,215364.0
79.0,204540.0
79.5,204094.0
80.0,213952.0
80.5,216696.0
81.0,205968.0
81.5,205032.0
82.0,220878.0
82.5,200018.0
83.0,214582.0
83.5,203250.0
84.0,220916.0
84.5,202104.0
85.0,211456.0
85.5,211096.0
86.0,219581.0
86.5,201584.0
87.0,208296.0
87.5,208207.0
88.0,215770.0
88.5,199930.0
89.0,202260.0
89.5,213880.0
90.0,209408.0
90.5,195960.0
91.0,201408.0
91.5,217793.0
92.0,200816.0
92.5,208368.0
93.0,199848.0
93.5,219990.0
94.0,196072.0
94.5,202148.0
95.0,198557.0
95.5,213834.0
96.0,194778.0
96.5,210988.0
97.0,207757.0
97.5,219624.0
98.0,210546.0
98.5,212350.0
99.0,218039.0
99.5,214394.0
100.0,202540.0
100.5,204410.0
101.0,222934.0
101.5,205514.0
102.0,203314.0
102.5,205879.0
103.0,220400.0
103.5,203576.0
104.0,217580.0
104.5,210509.0
105.0,224240.0
105.5,198694.0
106.0,212256.0
106.5,210878.0
107.0,219668.0
107.5,202476.0
108.0,206272.0
108.5,222684.0
109.0,215680.0
109.5,215776.0
110.0,213866.0
110.5,228976.0
111.0,205312.0
111.5,217464.0
112.0,221874.0
112.5,222598.0
113.0,212806.0
113.5,213302.0
114.0,226020.0
114.5,207804.0
115.0,221208.0
115.5,208504.0
116.0,224952.0
116.5,209072.0
117.0,217464.0
117.5,217560.0
118.0,227100.0
118.5,206016.0
119.0,207278.0
119.5,223006.0
120.0,210222.0
120.5,217680.0
121.0,206426.0
121.5,226748.0
122.0,211524.0
122.5,221946.0
123.0,216758.0
123.5,227862.0
124.0,209586.0
124.5,211392.0
125.0,227282.0
125.5,207862.0
126.0,224276.0
126.5,211276.0
127.0,224328.0
127.5,200584.0
128.0,211692.0
128.5,217520.0
129.0,218304.0
129.5,205672.0
130.0,210940.0
130.5,221304.0
131.0,213608.0
131.5,205056.0
132.0,204022.0
132.5,220680.0
133.0,197032.0
133.5,212510.0
134.0,208520.0
134.5,219424.0
135.0,204336.0
135.5,215346.0
136.0,216526.0
136.5,218724.0
137.0,205278.0
137.5,210264.0
138.0,218614.0
138.5,214312.0
139.0,209048.0
139.5,206634.0
140.0,223144.0
140.5,201152.0
141.0,212720.0
141.5,204560.0
142.0,216184.0
142.5,203110.0
143.0,210480.0
143.5,212514.0
144.0,218177.0
144.5,205314.0
145.0,206464.0
145.5,217144.0
146.0,213248.0
146.5,208792.0
147.0,202748.0
147.5,229662.0
148.0,206818.0
148.5,218788.0
149.0,213644.0
149.5,225300.0
150.0,206882.0
150.5,213961.0
151.0,222348.0
151.5,219498.0
152.0,51940.0
152.0,155778.0
152.5,214117.0
153.0,224958.0
153.5,210928.0
154.0,222826.0
154.5,212125.0
155.0,223968.0
155.5,203832.0
156.0,211566.0
156.5,219744.0
157.0,220488.0
157.5,206808.0
158.0,211312.0
158.5,222904.0
159.0,206796.0
159.5,219040.0
160.0,208270.0
160.5,226004.0
161.0,211490.0
161.5,218364.0
162.0,220021.0
162.5,225066.0
163.0,211494.0
163.5,211104.0
164.0,228512.0
164.5,209224.0
165.0,221648.0
165.5,215562.0
166.0,223224.0
166.5,197438.0
167.0,210488.0
167.5,212918.0
168.0,160922.0
168.0,53768.0
168.5,202954.0
169.0,206634.0
169.5,217484.0
170.0,214972.0
170.5,207834.0
171.0,206002.0
171.5,219964.0
172.0,201994.0
172.5,211714.0
173.0,209990.0
173.5,224026.0
174.0,207202.0
174.5,209088.0
175.0,221796.0
175.5,222600.0
176.0,211726.0
176.5,213104.0
177.0,224584.0
177.5,205760.0
178.0,214009.0
178.5,209176.0
179.0,227596.0
179.5,199314.0
180.0,213334.0
180.5,217070.0
181.0,220388.0
181.5,208672.0
182.0,210243.0
182.5,217648.0
183.0,219744.0
183.5,208909.0
184.0,207866.0
184.5,230448.0
185.0,206908.0
185.5,216479.0
186.0,214158.0
186.5,228948.0
187.0,214652.0
187.5,217686.0
188.0,226372.0
188.5,219764.0
189.0,220866.0
189.5,216012.0
190.0,235630.0
190.5,215976.0
191.0,222010.0
191.5,224654.0
192.0,225040.0
192.5,217766.0
193.0,216916.0
193.5,233050.0
194.0,213456.0
194.5,215736.0
195.0,221310.0
195.5,226982.0
196.0,213260.0
196.5,211764.0
197.0,232382.0
197.5,212794.0
198.0,226328.0
198.5,214144.0
199.0,230468.0
199.5,210730.0
200.0,215660.0
200.5,223594.0
201.0,225424.0
201.5,209568.0
202.0,210348.0
202.5,229620.0
203.0,212900.0
203.5,225488.0
204.0,221440.0
204.5,228568.0
205.0,212448.0
205.5,211344.0
206.0,226488.0
206.5,216232.0
207.0,216706.0
207.5,213026.0
208.0,222380.0
208.5,204282.0
209.0,218064.0
209.5,216160.0
210.0,222128.0
210.5,214482.0
211.0,211000.0
211.5,224482.0
212.0,215810.0
212.5,212410.0
213.0,207308.0
213.5,228622.0
214.0,207010.0
214.5,215592.0
215.0,213516.0
215.5,217476.0
216.0,205592.0
216.5,208309.0
217.0,221840.0
217.5,214414.0
218.0,205208.0
218.5,212600.0
219.0,225020.0
219.5,202104.0
220.0,225232.0
220.5,212432.0
221.0,226952.0
221.5,208532.0
222.0,212184.0
222.5,215544.0
223.0,219444.0
223.5,208824.0
224.0,206424.0
224.5,218344.0
225.0,216416.0
225.5,222802.0
226.0,216742.0
226.5,229998.0
227.0,215656.0
227.5,216366.0
228.0,225548.0
228.5,225752.0
229.0,214918.0
229.5,212128.0
230.0,229832.0
230.5,209424.0
231.0,217817.0
231.5,217624.0
232.0,227556.0
232.5,211324.0
233.0,214444.0
233.5,226760.0
234.0,219920.0
234.5,220464.0
235.0,216559.0
235.5,229456.0
236.0,212748.0
236.5,218052.0
237.0,224255.0
237.5,226050.0
238.0,210734.0
238.5,210056.0
239.0,232262.0
239.5,210698.0
240.0,218146.0
240.5,217598.0
241.0,231440.0
241.5,212264.0
242.0,216524.0
242.5,225294.0
243.0,221000.0
243.5,218814.0
244.0,204542.0
244.5,227454.0
245.0,206780.0
245.5,213976.0
246.0,209920.0
246.5,226120.0
247.0,207953.0
247.5,210436.0
248.0,222724.0
248.5,217228.0
249.0,208255.0
249.5,206816.0
250.0,225960.0
250.5,204068.0
251.0,215583.0
251.5,207032.0
252.0,227326.0
252.5,198410.0
253.0,211680.0
253.5,210300.0
254.0,219010.0
254.5,206676.0
255.0,206678.0
255.5,222672.0
256.0,213304.0
256.5,214584.0
257.0,210022.0
257.5,231802.0
258.0,206040.0
258.5,213020.0
259.0,208714.0
259.5,223268.0
260.0,206956.0
260.5,213008.0
261.0,216214.0
261.5,217822.0
262.0,212346.0
262.5,205424.0
263.0,227853.0
263.5,214280.0
264.0,221384.0
264.5,216704.0
265.0,227675.0
265.5,213376.0
266.0,217052.0
266.5,227588.0
267.0,223406.0
267.5,214294.0
268.0,211244.0
268.5,236526.0
269.0,209729.0
269.5,223216.0
270.0,220242.0
270.5,225720.0
271.0,210313.0
271.5,211612.0
272.0,232196.0
272.5,216454.0
273.0,220115.0
273.5,216892.0
274.0,230768.0
274.5,214200.0
275.0,213424.0
275.5,225764.0
276.0,219748.0
276.5,214956.0
277.0,213268.0
277.5,232902.0
278.0,213696.0
278.5,225040.0
279.0,220866.0
279.5,227578.0
280.0,214188.0
280.5,212886.0
281.0,229146.0
281.5,211392.0
282.0,215576.0
282.5,205724.0
283.0,226902.0
283.5,209048.0
284.0,213878.0
284.5,214030.0
285.0,220782.0
285.5,212090.0
286.0,210382.0
286.5,225848.0
287.0,208239.0
287.5,222544.0
288.0,204558.0
288.5,227380.0
289.0,203960.0
289.5,214394.0
290.0,212968.0
290.5,221204.0
291.0,209564.0
291.5,212976.0
292.0,222312.0
292.5,216984.0
293.0,219144.0
293.5,217264.0
294.0,230800.0
294.5,212291.0
295.0,212700.0
295.5,223488.0
296.0,223840.0
296.5,206684.0
297.0,208952.0
297.5,226544.0
298.0,210458.0
298.5,225362.0
299.0,214864.0
299.5,225360.0
300.0,216422.0
300.5,217210.0
301.0,219886.0
301.5,229516.0
302.0,217695.0
302.5,211514.0
303.0,235190.0
303.5,216240.0
304.0,226658.0
304.5,225638.0
305.0,227510.0
305.5,218718.0
306.0,213864.0
306.5,237684.0
307.0,212026.0
307.5,226798.0
308.0,222270.0
308.5,235962.0
309.0,213378.0
309.5,215098.0
310.0,235032.0
310.5,215688.0
311.0,228806.0
311.5,215612.0
312.0,231808.0
312.5,219228.0
313.0,217084.0
313.5,231480.0
314.0,220244.0
314.5,224256.0
315.0,218932.0
315.5,234924.0
316.0,217466.0
316.5,221242.0
317.0,226056.0
317.5,227749.0
318.0,215592.0
318.5,212888.0
319.0,234278.0
319.5,212354.0
320.0,220320.0
320.5,219320.0
321.0,221814.0
321.5,212392.0
