time,iops
0.0,489620.0
1.0,492621.0
2.0,492690.0
3.0,493911.0
4.0,492552.0
5.0,492857.0
6.0,492644.0
7.0,494661.0
8.0,492639.0
9.0,492999.0
10.0,492283.0
11.0,493589.0
12.0,493102.0
13.0,491935.0
14.0,494480.0
15.0,493876.0
16.0,492679.0
17.0,493040.0
18.0,494338.0
19.0,492374.0
20.0,492493.0
21.0,493649.0
22.0,493790.0
23.0,492165.0
24.0,493099.0
25.0,493365.0
26.0,493952.0
27.0,492629.0
28.0,493484.0
29.0,495169.0
30.0,493243.0
31.0,493830.0
32.0,493560.0
33.0,495340.0
34.0,494638.0
35.0,493196.0
36.0,492403.0
37.0,494875.0
38.0,493137.0
39.0,493527.0
40.0,492651.0
41.0,494395.0
42.0,493750.0
43.0,492874.0
44.0,494427.0
45.0,491955.0
46.0,492596.0
47.0,491266.0
48.0,493853.0
49.0,492796.0
50.0,490748.0
51.0,493789.0
52.0,495350.0
53.0,493620.0
54.0,493212.0
55.0,494180.0
56.0,492683.0
57.0,493301.0
58.0,491500.0
59.0,494538.0
60.0,493194.0
61.0,493031.0
62.0,493696.0
63.0,494662.0
64.0,295814.0
65.0,213804.0
66.0,200860.0
67.0,211520.0
68.0,199000.0
69.0,210232.0
70.0,203232.0
71.0,212539.0
72.0,205756.0
73.0,208536.0
74.0,212807.0
75.0,210396.0
76.0,209484.0
77.0,208451.0
78.0,213607.0
79.0,208349.0
80.0,214103.0
81.0,209260.0
82.0,216059.0
83.0,205807.0
84.0,215896.0
85.0,206586.0
86.0,215756.0
87.0,202152.0
88.0,215139.0
89.0,207862.0
90.0,209201.0
91.0,208323.0
92.0,209489.0
93.0,215970.0
94.0,208699.0
95.0,210764.0
96.0,202488.0
97.0,208779.0
98.0,204623.0
99.0,212896.0
100.0,202804.0
101.0,212532.0
102.0,199722.0
103.0,210236.0
104.0,204392.0
105.0,214167.0
106.0,203359.0
107.0,209508.0
108.0,207719.0
109.0,208865.0
110.0,208681.0
111.0,207113.0
112.0,209556.0
113.0,203182.0
114.0,205760.0
115.0,211061.0
116.0,215028.0
117.0,217393.0
118.0,222654.0
119.0,210054.0
120.0,219770.0
121.0,207877.0
122.0,218527.0
123.0,214162.0
124.0,216169.0
125.0,215360.0
126.0,212937.0
127.0,215498.0
128.0,216411.0
129.0,221449.0
130.0,214411.0
131.0,222937.0
132.0,206889.0
133.0,216175.0
134.0,211609.0
135.0,212342.0
136.0,213944.0
137.0,210259.0
138.0,214226.0
139.0,209200.0
140.0,212748.0
141.0,209879.0
142.0,215344.0
143.0,207037.0
144.0,217448.0
145.0,203582.0
146.0,216656.0
147.0,205990.0
148.0,212949.0
149.0,208462.0
150.0,214022.0
151.0,213452.0
152.0,211650.0
153.0,210940.0
154.0,207632.0
155.0,220148.0
156.0,214279.0
157.0,219532.0
158.0,214357.0
159.0,220342.0
160.0,209875.0
161.0,217645.0
162.0,214484.0
163.0,218710.0
164.0,217174.0
165.0,211355.0
166.0,214469.0
167.0,216566.0
168.0,220759.0
169.0,213465.0
170.0,223997.0
171.0,212568.0
172.0,217579.0
173.0,215228.0
174.0,215394.0
175.0,211173.0
176.0,213388.0
177.0,212949.0
178.0,206711.0
179.0,212098.0
180.0,207758.0
181.0,213420.0
182.0,211963.0
183.0,216355.0
184.0,207187.0
185.0,216624.0
186.0,202059.0
187.0,211852.0
188.0,211222.0
189.0,211802.0
190.0,208887.0
191.0,203912.0
192.0,215822.0
193.0,215632.0
194.0,219213.0
195.0,218284.0
196.0,224987.0
197.0,212836.0
198.0,221888.0
199.0,218004.0
200.0,222597.0
201.0,222074.0
