time,iops
0.5,563518.0
1.0,589553.0
1.5,580394.0
2.0,587450.0
2.5,588341.0
3.0,582684.0
3.5,600208.0
4.0,616554.0
4.5,623326.0
5.0,629646.0
5.5,628158.0
6.0,625864.0
6.5,628783.0
7.0,624210.0
7.5,628051.0
8.0,627556.0
8.5,623822.0
9.0,629994.0
9.5,628884.0
10.0,624652.0
10.5,628443.0
11.0,624626.0
11.5,628886.0
12.0,627225.0
12.5,625496.0
13.0,627516.0
13.5,629710.0
14.0,630270.0
14.5,643342.0
15.0,639578.0
15.5,643108.0
16.0,641070.0
16.5,637084.0
17.0,642930.0
17.5,638752.0
18.0,641948.0
18.5,636836.0
19.0,644098.0
19.5,643843.0
20.0,640220.0
20.5,641460.0
21.0,640198.0
21.5,644270.0
22.0,638649.0
22.5,643388.0
23.0,643740.0
23.5,638880.0
24.0,643278.0
24.5,638317.0
25.0,642384.0
25.5,637626.0
26.0,642510.0
26.5,642862.0
27.0,638762.0
27.5,643996.0
28.0,639148.0
28.5,642950.0
29.0,637160.0
29.5,643184.0
30.0,642018.0
30.5,638608.0
31.0,642068.0
31.5,638184.0
32.0,641778.0
32.5,641046.0
33.0,636410.0
33.5,640912.0
34.0,635966.0
34.5,642070.0
35.0,637526.0
35.5,643968.0
36.0,642594.0
36.5,637045.0
37.0,642488.0
37.5,635246.0
38.0,615840.0
38.5,621495.0
39.0,633096.0
39.5,604362.0
40.0,588807.0
40.5,606328.0
41.0,629241.0
41.5,594402.0
42.0,593490.0
42.5,594952.0
43.0,611018.0
43.5,594892.0
44.0,591016.0
44.5,586560.0
45.0,590794.0
45.5,588955.0
46.0,582398.0
46.5,584983.0
47.0,592132.0
47.5,622749.0
48.0,626416.0
48.5,629348.0
49.0,622570.0
49.5,605014.0
50.0,613678.0
50.5,590799.0
51.0,441058.0
51.5,208196.0
52.0,213186.0
52.5,218480.0
53.0,203934.0
53.5,209432.0
54.0,219099.0
54.5,212242.0
55.0,199113.0
55.5,207300.0
56.0,220092.0
56.5,202844.0
57.0,213186.0
57.5,206253.0
58.0,223348.0
