time,iops
0.0,807411.0
1.0,809448.0
2.0,809466.0
3.0,806087.0
4.0,806919.0
5.0,807061.0
6.0,808365.0
7.0,807941.0
8.0,804541.0
9.0,804598.0
10.0,806809.0
11.0,807685.0
12.0,809088.0
13.0,808842.0
14.0,809101.0
15.0,806539.0
16.0,805668.0
17.0,807408.0
18.0,804276.0
19.0,807422.0
20.0,807821.0
21.0,807099.0
22.0,805281.0
23.0,807364.0
24.0,807368.0
25.0,807261.0
26.0,807314.0
27.0,804321.0
28.0,807191.0
29.0,805934.0
30.0,807048.0
31.0,810134.0
32.0,810817.0
33.0,809621.0
34.0,808826.0
35.0,807376.0
36.0,801314.0
37.0,805557.0
38.0,806483.0
39.0,380901.0
40.0,216660.0
41.0,205676.0
42.0,216003.0
43.0,203660.0
44.0,211764.0
45.0,213692.0
46.0,215040.0
47.0,214932.0
48.0,211576.0
49.0,211571.0
50.0,203993.0
51.0,206876.0
52.0,202472.0
53.0,210768.0
54.0,205956.0
55.0,209400.0
56.0,202632.0
57.0,212440.0
58.0,205204.0
59.0,211913.0
60.0,201962.0
61.0,211196.0
62.0,205516.0
63.0,210200.0
64.0,206812.0
65.0,206333.0
66.0,202291.0
67.0,207288.0
68.0,209252.0
69.0,208583.0
70.0,212212.0
71.0,210420.0
72.0,212824.0
73.0,208380.0
74.0,214556.0
75.0,204659.0
76.0,215093.0
77.0,204001.0
78.0,213907.0
79.0,208626.0
80.0,215101.0
81.0,212511.0
82.0,214329.0
83.0,211649.0
84.0,211028.0
85.0,212440.0
86.0,207444.0
87.0,212643.0
88.0,205348.0
89.0,211980.0
90.0,206096.0
91.0,213878.0
92.0,208405.0
93.0,215516.0
94.0,206572.0
95.0,212902.0
96.0,207516.0
97.0,213342.0
98.0,210532.0
99.0,214384.0
100.0,213956.0
101.0,211432.0
102.0,215936.0
103.0,211244.0
104.0,215984.0
105.0,209312.0
106.0,219448.0
107.0,207548.0
108.0,214816.0
109.0,209528.0
110.0,214400.0
111.0,215360.0
112.0,214604.0
113.0,215567.0
114.0,212795.0
115.0,216077.0
116.0,212748.0
117.0,222656.0
118.0,209760.0
119.0,222679.0
120.0,210752.0
121.0,214681.0
122.0,216471.0
123.0,215995.0
124.0,215620.0
125.0,213784.0
126.0,217276.0
127.0,213572.0
128.0,215834.0
129.0,213356.0
130.0,218640.0
131.0,210348.0
132.0,215946.0
133.0,206861.0
134.0,210728.0
135.0,212820.0
136.0,209796.0
137.0,212781.0
138.0,207353.0
139.0,214394.0
140.0,208894.0
141.0,212980.0
142.0,210626.0
143.0,214174.0
144.0,208259.0
145.0,217960.0
146.0,209424.0
147.0,211548.0
148.0,210324.0
149.0,212539.0
150.0,213695.0
151.0,215539.0
152.0,214828.0
153.0,211536.0
154.0,214834.0
155.0,214426.0
156.0,219642.0
157.0,209596.0
158.0,222580.0
159.0,207312.0
160.0,213864.0
161.0,213752.0
162.0,217685.0
163.0,218096.0
164.0,217890.0
165.0,216888.0
166.0,212332.0
167.0,221972.0
168.0,216604.0
169.0,222852.0
170.0,208528.0
171.0,215852.0
172.0,218656.0
173.0,214242.0
174.0,216054.0
175.0,212400.0
176.0,219432.0
177.0,216924.0
178.0,219584.0
179.0,209773.0
180.0,218636.0
181.0,211440.0
182.0,214852.0
183.0,213656.0
184.0,218940.0
185.0,218748.0
186.0,215617.0
187.0,218598.0
188.0,216536.0
189.0,222808.0
190.0,213472.0
191.0,226096.0
192.0,212246.0
193.0,222922.0
194.0,224728.0
195.0,220044.0
196.0,221779.0
197.0,223021.0
198.0,228860.0
199.0,218026.0
200.0,226210.0
201.0,219560.0
202.0,221445.0
203.0,217920.0
204.0,217908.0
205.0,221700.0
206.0,216328.0
207.0,224020.0
208.0,213368.0
209.0,219120.0
210.0,207272.0
211.0,213048.0
212.0,219824.0
213.0,215504.0
214.0,218352.0
215.0,210720.0
216.0,218008.0
217.0,213920.0
218.0,219640.0
219.0,213214.0
220.0,221289.0
221.0,211112.0
222.0,215908.0
223.0,219004.0
224.0,214168.0
225.0,218344.0
226.0,215252.0
227.0,219164.0
228.0,217604.0
229.0,224408.0
230.0,215251.0
231.0,226494.0
232.0,212549.0
233.0,222216.0
234.0,222680.0
235.0,220792.0
236.0,222676.0
237.0,218696.0
238.0,223372.0
239.0,214959.0
240.0,222637.0
241.0,220199.0
242.0,225080.0
243.0,225276.0
244.0,217720.0
245.0,223272.0
246.0,215705.0
247.0,216148.0
248.0,212616.0
249.0,221944.0
250.0,206888.0
251.0,218166.0
252.0,212846.0
253.0,214420.0
254.0,212560.0
255.0,212307.0
256.0,217740.0
257.0,210468.0
258.0,218872.0
259.0,210812.0
260.0,219857.0
261.0,206103.0
262.0,218334.0
263.0,208213.0
264.0,216343.0
265.0,216051.0
266.0,222724.0
267.0,220620.0
268.0,216831.0
269.0,221809.0
270.0,215076.0
271.0,228215.0
272.0,217177.0
273.0,224750.0
274.0,220128.0
275.0,217867.0
276.0,224233.0
277.0,220387.0
278.0,223728.0
279.0,213096.0
280.0,224240.0
281.0,210156.0
282.0,219288.0
283.0,220580.0
284.0,218323.0
285.0,220433.0
286.0,214772.0
287.0,222968.0
288.0,215752.0
289.0,224872.0
290.0,214917.0
291.0,217251.0
292.0,217655.0
293.0,219028.0
294.0,219755.0
295.0,217976.0
296.0,217916.0
297.0,213904.0
298.0,220424.0
299.0,209260.0
300.0,221588.0
301.0,210540.0
302.0,222460.0
303.0,225769.0
304.0,223302.0
305.0,227617.0
306.0,224476.0
307.0,225560.0
308.0,217712.0
309.0,225388.0
310.0,223756.0
311.0,222088.0
312.0,224620.0
313.0,222826.0
314.0,227450.0
315.0,217556.0
316.0,227228.0
317.0,220204.0
318.0,225597.0
319.0,223598.0
320.0,220344.0
321.0,225212.0
322.0,216265.0
323.0,218534.0
324.0,213608.0
325.0,221480.0
326.0,215852.0
327.0,215902.0
328.0,213909.0
329.0,219996.0
330.0,220188.0
331.0,214392.0
332.0,220761.0
333.0,217042.0
334.0,228056.0
335.0,218448.0
336.0,224091.0
337.0,222400.0
338.0,221748.0
339.0,224896.0
340.0,218048.0
341.0,229156.0
342.0,218727.0
343.0,230684.0
344.0,221507.0
345.0,231141.0
346.0,229377.0
347.0,227055.0
348.0,229096.0
349.0,222020.0
350.0,229524.0
351.0,224176.0
352.0,228880.0
353.0,230740.0
354.0,224383.0
355.0,231591.0
356.0,222648.0
357.0,227584.0
358.0,227208.0
359.0,224739.0
360.0,226472.0
361.0,218022.0
362.0,226316.0
363.0,221221.0
364.0,223456.0
365.0,213832.0
366.0,219432.0
367.0,223280.0
368.0,222240.0
369.0,229320.0
370.0,222434.0
371.0,229458.0
372.0,219577.0
373.0,222864.0
374.0,223435.0
375.0,224909.0
376.0,230780.0
377.0,223004.0
378.0,230101.0
379.0,223443.0
380.0,231276.0
381.0,229200.0
382.0,230916.0
383.0,232396.0
384.0,223780.0
385.0,233439.0
386.0,221569.0
387.0,234240.0
388.0,233595.0
389.0,229328.0
390.0,233256.0
391.0,221264.0
392.0,235416.0
393.0,220628.0
394.0,230608.0
395.0,232435.0
396.0,224692.0
