time,iops
0.5,803308.0
1.0,811568.0
1.5,811430.0
2.0,811228.0
2.5,810774.0
3.0,404750.0
3.0,404768.0
3.5,809114.0
4.0,808858.0
4.5,810826.0
5.0,810860.0
5.5,810850.0
6.0,810804.0
6.5,810786.0
7.0,806848.0
7.5,811056.0
8.0,805148.0
8.5,806674.0
9.0,807212.0
9.5,807272.0
10.0,806846.0
10.5,806622.0
11.0,806722.0
11.5,807236.0
12.0,806896.0
12.5,805784.0
13.0,806978.0
13.5,806650.0
14.0,801728.0
14.5,805606.0
15.0,805634.0
15.5,805710.0
16.0,806646.0
16.5,805692.0
17.0,805576.0
17.5,805000.0
18.0,804762.0
18.5,404758.0
18.5,404762.0
19.0,808762.0
19.5,809812.0
20.0,810984.0
20.5,806856.0
21.0,810778.0
21.5,810534.0
22.0,810834.0
22.5,810910.0
23.0,809848.0
23.5,809226.0
24.0,809016.0
24.5,809122.0
25.0,809132.0
25.5,808928.0
26.0,803320.0
26.5,809116.0
27.0,809116.0
27.5,805044.0
28.0,809206.0
28.5,809178.0
29.0,809072.0
29.5,809096.0
30.0,809084.0
30.5,809164.0
31.0,808204.0
31.5,808988.0
32.0,808932.0
32.5,808890.0
33.0,809042.0
33.5,809028.0
34.0,804814.0
34.5,803116.0
35.0,809066.0
35.5,806574.0
36.0,805472.0
36.5,805420.0
37.0,805366.0
37.5,806766.0
38.0,201816.0
38.0,605462.0
38.5,806476.0
39.0,804774.0
39.5,507774.0
40.0,205496.0
40.5,215528.0
41.0,219584.0
41.5,202408.0
42.0,207000.0
42.5,220708.0
43.0,210168.0
43.5,205944.0
44.0,201952.0
44.5,216744.0
45.0,195992.0
45.5,212512.0
46.0,206884.0
46.5,218680.0
47.0,200716.0
47.5,212574.0
48.0,212820.0
48.5,217784.0
49.0,199328.0
49.5,202658.0
50.0,209570.0
50.5,214756.0
51.0,196352.0
51.5,203640.0
52.0,217664.0
52.5,209688.0
53.0,207464.0
53.5,50330.0
53.5,151904.0
54.0,217760.0
54.5,202228.0
55.0,211156.0
55.5,203120.0
56.0,214240.0
56.5,196864.0
57.0,210620.0
57.5,206932.0
58.0,217729.0
58.5,204184.0
59.0,209320.0
59.5,210448.0
60.0,214064.0
60.5,203864.0
61.0,204160.0
61.5,215967.0
62.0,208040.0
62.5,205638.0
63.0,198330.0
63.5,223894.0
64.0,198440.0
64.5,207396.0
65.0,205944.0
65.5,220992.0
66.0,203176.0
66.5,213040.0
67.0,210752.0
67.5,219122.0
68.0,206900.0
68.5,212680.0
69.0,221278.0
69.5,216697.0
70.0,205832.0
70.5,204304.0
71.0,224296.0
71.5,203472.0
72.0,214272.0
72.5,206416.0
73.0,217432.0
73.5,206011.0
74.0,212432.0
74.5,213982.0
75.0,220986.0
75.5,201888.0
76.0,207912.0
76.5,219560.0
77.0,210315.0
77.5,199304.0
78.0,201488.0
78.5,221656.0
79.0,201192.0
79.5,221032.0
80.0,209626.0
80.5,222356.0
81.0,204419.0
81.5,208562.0
82.0,211126.0
82.5,214744.0
83.0,201480.0
83.5,210826.0
84.0,215576.0
84.5,212280.0
85.0,196992.0
85.5,199810.0
86.0,218682.0
86.5,207960.0
87.0,207992.0
87.5,201672.0
88.0,219704.0
88.5,49640.0
88.5,149696.0
89.0,210699.0
89.5,201000.0
90.0,216352.0
90.5,195696.0
91.0,205096.0
91.5,209376.0
92.0,219240.0
92.5,205040.0
93.0,209818.0
93.5,217462.0
94.0,216978.0
94.5,206994.0
95.0,208926.0
95.5,223942.0
96.0,201618.0
96.5,53868.0
96.5,162668.0
97.0,207091.0
97.5,220736.0
98.0,201584.0
98.5,212360.0
99.0,210992.0
99.5,217008.0
100.0,206582.0
100.5,52434.0
100.5,158204.0
101.0,214681.0
101.5,215858.0
102.0,202384.0
102.5,203544.0
103.0,220464.0
103.5,204336.0
104.0,211208.0
104.5,103548.0
104.5,103884.0
105.0,226971.0
105.5,213008.0
106.0,221240.0
106.5,218688.0
107.0,224912.0
107.5,211464.0
108.0,211508.0
108.5,56428.0
108.5,170368.0
109.0,206803.0
109.5,217280.0
110.0,207192.0
110.5,229472.0
111.0,209706.0
111.5,219326.0
112.0,220080.0
112.5,225576.0
113.0,204129.0
113.5,210794.0
114.0,223580.0
114.5,209496.0
115.0,217560.0
115.5,210064.0
116.0,225352.0
116.5,211304.0
117.0,220215.0
117.5,221144.0
