time,iops
0,444471.209746
1,443293.657535
2,443964.549551
3,444055.410180
4,443823.256070
5,442928.104050
6,443717.726934
7,444318.723087
8,443677.530828
9,443651.745864
10,443871.621262
11,442750.031729
12,444271.446580
13,442754.648867
14,443699.329022
15,443275.408243
16,443498.307339
17,444223.724469
18,443993.389607
19,443222.825924
20,444180.967479
21,443230.340081
22,442865.063578
23,443249.900038
24,444656.063684
25,442439.778761
26,443179.901403
27,443782.091735
28,442952.713427
29,443999.371715
30,443632.140884
31,443277.233351
32,442498.330327
33,443025.688982
34,444670.776117
35,443572.648321
36,444231.407220
37,444546.008356
38,443864.246316
39,443687.617525
40,444129.986295
41,444440.380984
42,443844.703498
43,443940.429509
44,444621.476341
45,443795.124418
46,443560.429762
47,443993.681578
48,442720.066363
49,443535.737034
50,444542.341978
51,443157.004533
52,444260.662000
53,443956.384628
54,443628.701834
55,444388.911185
56,442937.652707
57,444025.838789
58,443449.909288
59,443776.691833
60,444316.532607
61,445432.762033
62,444549.862071
63,443822.413717
64,444372.361061
65,444471.110607
66,444072.674987
67,443195.955579
68,442813.113456
69,444860.924562
70,444463.575273
71,443292.775315
72,444161.911545
73,444966.171608
74,443444.535188
75,443218.041076
76,443369.748764
77,443559.897147
78,443885.602632
79,444325.245698
80,444550.573512
81,443499.946509
82,444169.045263
83,444176.098975
84,443711.113897
85,444256.120441
86,443682.072355
87,443179.051803
88,443572.573757
89,443195.106359
90,443533.281331
91,444167.663300
92,443790.231980
93,442482.461531
94,444131.802593
95,443307.336250
96,443783.027706
97,443566.284716
98,443240.897606
99,443240.457806
100,443595.900070
101,443846.478913
102,444177.336787
103,443245.052497
104,443786.256193
105,443730.542455
106,444278.408000
107,443963.251505
108,444058.543551
109,443220.915668
110,444195.759831
111,444139.543822
112,444032.815151
113,444210.651867
114,443577.477429
115,444775.014763
116,443886.366847
117,443974.397118
118,444948.374423
119,444446.935266
120,444989.795721
121,444289.606499
122,442877.907960
123,443905.415874
124,443154.998023
125,443454.889515
126,444546.387282
127,444682.038322
128,443896.100515
129,443156.739716
130,443345.901861
131,442899.437981
132,445631.222914
133,444791.151751
134,444077.369042
135,443859.607307
136,444200.513935
137,443309.163953
138,442563.546087
139,444576.983378
140,443126.959023
141,444197.033811
142,443831.872295
143,443926.551804
144,444646.176928
145,443527.401506
146,444768.492334
147,442905.545886
148,443313.266694
149,443085.917188
150,444337.273526
151,444369.299283
152,444769.308962
153,444295.589778
154,442518.045277
155,443391.714885
156,443705.374928
157,444177.308499
158,443036.239251
159,444106.300113
160,444293.280676
161,443461.123989
162,443197.276999
163,444651.030665
164,444395.219988
165,444299.747307
166,444091.454685
167,443548.055544
168,443675.802202
169,442742.717110
170,443488.765209
171,443650.924287
172,443259.911001
173,443297.795121
174,444706.786503
175,443485.920503
176,442681.844838
177,444384.221841
178,443743.210048
179,444416.136193
180,444159.788364
181,444604.589996
182,443935.731731
183,443679.230777
184,444439.736137
