time,iops
0,826847.712167
1,826163.897548
2,827224.774519
3,826211.259304
4,825671.690235
5,828660.160638
6,827214.978174
7,827957.927163
8,825204.214863
9,827307.458664
10,828831.366684
11,827340.438334
12,829205.052028
13,827961.239991
14,827847.532294
15,827818.949125
16,828077.420843
17,829225.076628
18,828768.110745
19,826273.066450
20,822440.778568
21,811025.587629
22,808231.203124
23,810264.458003
24,810088.752320
25,809500.941329
26,810260.231209
27,808944.228171
28,802352.845759
29,806753.513123
30,811965.313116
31,816017.113723
32,816826.384459
33,816330.844592
34,815225.350813
35,810504.069758
36,813231.208161
37,812473.173341
38,621634.193824
39,225895.211551
40,220427.898026
41,224204.507610
42,220887.669065
43,226752.358869
44,215877.007899
45,223652.590671
46,217636.000277
47,225428.619785
48,219017.174327
49,225116.307676
50,219614.767616
51,223108.942599
52,217866.367026
53,219407.401685
54,220530.051543
55,218014.281980
56,224325.677998
57,217573.096768
58,223604.948628
59,217396.449230
60,220815.437993
61,212534.133824
62,221762.806866
63,217057.132491
64,219751.142571
65,212298.770098
66,217175.051964
67,217509.344917
68,217601.076608
69,217247.364447
70,212168.728409
71,215206.544844
72,212705.900305
73,215206.080294
74,210994.567574
75,214422.606503
76,208091.726737
77,212236.624513
78,209862.249914
79,214920.219042
80,213807.713241
81,213027.322398
82,209149.196918
83,213779.182834
84,211661.124965
85,211562.035681
86,209245.417853
87,209719.660006
88,212337.505173
89,209632.751746
90,218226.279291
91,216879.476365
92,222793.046230
93,219112.701697
94,223141.567043
95,216532.120554
96,222627.407909
97,219584.285953
98,218501.121169
99,217673.637120
100,214337.025970
101,220820.657549
102,218680.034398
103,224288.391722
104,216491.277019
105,221405.686490
106,215217.773078
107,219917.794213
108,218295.545286
109,218840.420584
110,217109.221076
111,213104.740054
112,215926.893191
113,210087.240929
114,214693.725490
115,214411.527995
116,216808.126573
117,213694.070360
118,215951.340471
119,212242.792969
120,215626.294423
121,212884.768848
122,212373.678670
123,212113.888388
124,212901.069803
125,215903.072176
126,208650.365109
127,214341.800482
128,215401.802682
129,221436.404909
130,221196.190708
131,220239.980893
132,216276.105571
133,222129.486970
134,218968.195750
135,217648.782387
136,219162.645028
137,218054.300500
138,221437.662216
139,216485.221620
140,219588.674456
141,216290.885366
142,219172.641686
143,216845.757137
144,221510.826245
145,219094.244552
146,214956.233137
147,219003.654219
148,213122.468043
149,215134.337345
150,210656.413255
151,212931.167419
152,209538.333329
153,213266.303504
154,213128.675461
155,216269.370626
156,211507.839495
157,214243.612889
158,212740.518475
159,211693.668288
160,213779.689844
161,208586.542851
162,214689.759915
163,212724.813969
164,213992.208046
165,213167.664691
166,218436.245499
167,216398.465708
168,220135.446125
169,219213.000684
170,222448.957311
171,223887.491259
172,218157.273376
173,221424.300487
174,220418.536848
175,225439.659286
176,223330.109660
177,223433.256442
178,219332.548763
179,220513.786220
180,221537.925728
181,221618.981681
182,226481.293792
183,220041.716890
184,224794.419582
185,223779.735911
186,222898.371838
187,219747.415719
188,217539.538746
189,216768.562322
190,215769.407983
191,218152.798345
192,217521.648616
193,219237.013441
194,215739.317883
195,219912.888818
196,218336.501814
197,218912.213368
198,216366.129571
199,215689.335656
200,218027.175254
201,217408.488551
202,219144.649957
203,216864.461299
204,218073.669405
205,214864.158235
206,219051.793188
207,216976.526916
208,219318.781315
209,218748.095186
210,218559.637662
211,224324.298802
212,224725.868534
213,224659.649408
214,220271.425785
215,221697.564940
216,219184.951079
217,221785.236869
218,222685.268165
219,221707.479120
220,222202.539038
221,220573.716799
222,220274.605869
223,220387.829938
224,220719.249464
225,220383.412863
226,220099.010538
227,215873.938341
228,214629.343342
229,217043.481605
230,216020.442791
231,218422.015232
232,218247.829162
233,218042.228636
234,215410.367723
235,216884.061390
236,214825.746199
237,214459.436823
238,213427.635635
239,213837.331608
240,216449.564818
241,215852.354698
242,217759.343192
243,219342.952951
244,215840.699341
245,213120.614384
246,216800.773759
247,220447.243450
248,220279.355157
249,220872.337272
250,220909.066246
251,221906.785745
252,221746.242272
253,221700.798464
254,221646.589930
255,223708.238303
256,222783.848608
257,223218.593375
258,221333.546681
259,218161.876970
260,219194.501883
261,221076.407536
262,220016.590384
263,218175.986807
264,219585.375653
265,216688.412623
266,214841.775087
267,214367.634756
268,215885.469747
269,215647.136758
270,214161.093851
271,216756.075538
272,216757.548467
273,216688.503852
274,214135.506662
275,215397.885537
276,216342.744757
277,215752.555824
278,217745.105806
279,217058.487102
280,215691.911194
281,214394.258738
282,216479.534637
283,218322.989408
284,220019.666901
285,223701.722166
286,222917.925925
287,221922.079489
288,224927.138818
289,223804.163407
290,224888.772877
291,223676.791936
292,223431.511331
293,223245.108903
294,225812.131302
295,223926.077188
296,221917.873493
297,221632.065282
298,222836.522286
299,227673.548734
300,225273.488247
301,224711.785340
302,222366.393342
303,218883.138500
304,219097.005830
305,217932.882676
306,218224.693221
307,220030.884373
308,221701.725364
309,221630.274001
310,221943.566250
311,218899.058768
312,216385.780583
313,215169.033793
314,215901.887963
315,220093.218275
316,221647.742752
317,224379.732559
318,222347.013214
319,220223.258493
320,218481.232964
321,221554.284658
322,224472.051979
323,222901.523955
324,227184.751677
325,226152.514926
326,227389.505618
327,222944.913300
328,221777.258302
329,223186.845733
330,221937.369590
331,226786.239801
332,225977.523107
333,228597.887977
334,226272.970895
335,226433.754577
336,225407.130249
337,224358.331794
338,227843.347612
339,222754.961968
340,224869.401888
341,221454.777510
342,221505.254090
343,217506.255707
344,219606.998258
345,221618.919601
346,220057.348070
347,225983.298092
348,222312.688045
349,224879.057399
350,221675.025996
351,222339.320063
352,220316.777570
353,221554.428721
354,222749.954410
355,219328.293826
356,222570.697718
357,220143.185145
358,224596.152815
359,224643.972146
360,226488.177946
361,228190.279936
362,225101.469208
363,226536.091656
364,221351.848943
365,229712.043670
366,227100.426349
367,227342.424534
368,228471.250690
369,226064.329374
370,229684.415041
371,225045.636244
372,230364.396901
373,226705.458163
374,229031.151550
375,231552.810429
376,228139.020529
377,229899.296720
378,224899.211271
379,227056.006924
380,221843.387013
381,222000.947239
382,223792.960573
